"date","new.cases","repronum","repronum.se","ci.lower","ci.upper"
2021-04-30,1435,0.872636953222023,0.0268790115867221,0.819955058572013,0.925318847872033
2021-05-01,1040,0.699428192591365,0.0240753112560437,0.652241449612928,0.746614935569802
2021-05-02,477,0.293074039277212,0.0155111230080197,0.262672796821723,0.323475281732701
2021-05-03,783,0.470581805263302,0.0196417050540447,0.432084770762416,0.509078839764188
2021-05-04,1905,1.25060018821903,0.0328763976058717,1.1861636329701,1.31503674346795
2021-05-05,1605,1.07910733529332,0.0318766251829998,1.01663029798596,1.14158437260068
2021-05-06,1209,0.588057901085645,0.0243132018947483,0.540404901023088,0.635710901148203
2021-05-07,1054,0.445279408161122,0.0216246796972854,0.402895814777228,0.487663001545016
2021-05-08,844,0.570358951772737,0.0250601336197777,0.521241992430212,0.619475911115263
2021-05-09,357,0.261946032649471,0.0174630688432981,0.227719046657063,0.296173018641879
2021-05-10,574,0.585771760473451,0.0269053880447767,0.533038168915614,0.638505352031288
2021-05-11,1447,1.44089680104505,0.0443825827769029,1.35390853726146,1.52788506482865
2021-05-12,1146,1.10941086457536,0.0412024851349235,1.02865547763737,1.19016625151336
2021-05-13,585,0.762311548694189,0.0352378638037854,0.693246604746642,0.831376492641736
2021-05-14,424,0.578440451935544,0.0310523104448554,0.51757904182687,0.639301862044217
2021-05-15,518,0.55499858129197,0.0307385284720344,0.494752172549024,0.615244990034917
2021-05-16,225,0.10063426577471,0.0132139264623345,0.074735445814174,0.126533085735247
2021-05-17,474,0.0565837557467877,0.0100026893483892,0.0369788448754024,0.076188666618173
2021-05-18,1054,0.683696307136094,0.036389482666029,0.612374231694632,0.755018382577555
2021-05-19,725,1.15798786653185,0.0513269097846847,1.05738897191613,1.25858676114757
2021-05-20,468,1.14764550505511,0.0559993666051167,1.03788876335202,1.25740224675819
2021-05-21,347,0.890330815870652,0.0533027116960645,0.785859420668044,0.99480221107326
2021-05-22,326,0.637063396897845,0.0470930813933463,0.544762653445873,0.729364140349817
2021-05-23,58,0.127483633857816,0.0209581803042318,0.0864063552800245,0.168560912435607
2021-05-24,32,0.560026827632461,0.0433361770064389,0.475089481472188,0.644964173792735
2021-05-25,353,0.997498556859727,0.0587781661482756,0.882295468131795,1.11270164558766
2021-05-26,509,0.866893631155028,0.0569143551878894,0.755343544783444,0.978443717526611
2021-05-27,420,0.545697726259474,0.0467931939844919,0.453984751328273,0.637410701190674
2021-05-28,279,0.503651712036422,0.0463648982361766,0.412778181346651,0.594525242726193
2021-05-29,183,0.555032925682032,0.0510949223480725,0.454888718086939,0.655177133277125
2021-05-30,37,0.104166666666667,0.0232923747656228,0.0585144510116364,0.149818882321697
2021-05-31,167,0.374008311295807,0.0460372406760632,0.28377697762312,0.464239644968493
2021-06-01,288,1.01328671328671,0.0798581803245075,0.856767555979774,1.16980587059365
2021-06-02,232,0.678625287721248,0.0696254854379559,0.542161843856736,0.815088731585759
2021-06-03,136,0.6797583081571,0.0737301404972774,0.535249888207358,0.824266728106841
2021-06-04,118,0.555721541679116,0.0705767063699893,0.417393739046478,0.694049344311753
2021-06-05,118,0.267916207276736,0.0515604981304958,0.16685948791602,0.368972926637453
2021-06-06,20,0.128449096098953,0.0370800601049474,0.055773513748676,0.201124678449231
2021-06-07,66,0.352985829959514,0.0633981266010504,0.228727785134145,0.477243874784884
2021-06-08,161,0.931034482758621,0.109723466046188,0.715980441049188,1.14608852446805
2021-06-09,95,0.531197301854975,0.089788731952608,0.355214621010342,0.707179982699607
2021-06-10,85,0.654670750382848,0.106201619499848,0.446519401063319,0.862822099702378
2021-06-11,62,0.559130241846017,0.105665683601426,0.352029307585418,0.766231176106616
2021-06-12,27,0.45662100456621,0.102103560616429,0.256501703064707,0.656740306067713
2021-06-13,12,NA,NA,NA,NA
2021-06-14,31,0.718297369198936,0.138236393155069,0.447359017262282,0.989235721135589
2021-06-15,72,1.27680633454306,0.194711140609429,0.89517951155986,1.65843315752625
2021-06-16,35,0.55535390199637,0.134693105737056,0.291360265785895,0.819347538206846
2021-06-17,38,0.843420538852011,0.172162496564222,0.505988246097635,1.18085283160639
2021-06-18,28,0.75503355704698,0.168830635885051,0.424131591225284,1.08593552286868
2021-06-19,20,0.444943820224719,0.134155609497522,0.182003657285557,0.707883983163881
2021-06-20,4,0.375870069605568,0.125290023201856,0.130306136507743,0.621434002703394
2021-06-21,27,1.21212121212121,0.22906937758135,0.76315348210076,1.66108894214166
2021-06-22,43,1.12911657083116,0.230479954888119,0.677384160092025,1.58084898157029
2021-06-23,17,0.445054945054945,0.148351648351648,0.154291057238564,0.735818832871327
2021-06-24,24,1.1123595505618,0.23715585302478,0.647542619910354,1.57717648121324
2021-06-25,20,0.319148936170213,0.13029200759485,0.0637812938108878,0.574516578529538
2021-06-26,11,NA,NA,NA,NA
2021-06-27,9,NA,NA,NA,NA
2021-06-28,28,0.994475138121547,0.248618784530387,0.507191274561865,1.48175900168123
2021-06-29,24,1.60064672594988,0.341259028604777,0.931791320485393,2.26950213141436
2021-06-30,9,1.21731289449955,0.314308837834687,0.601278892320923,1.83334689667817
2021-07-01,22,1.64739884393064,0.377939214757862,0.906651594659878,2.38814609320139
2021-07-02,6,1.21621621621622,0.325047456379976,0.57913490844511,1.85329752398732
2021-07-03,4,1.2042818911686,0.310944247242344,0.594842365373688,1.81372141696351
2021-07-04,3,NA,NA,NA,NA
2021-07-05,16,1.43617021276596,0.313398033849564,0.821921353595148,2.05041907193677
2021-07-06,22,3.38855421686747,0.479213933033052,2.4493121672329,4.32779626650204
2021-07-07,15,1.26854599406528,0.291024410177048,0.698148631496256,1.83894335663431
2021-07-08,19,1.1415220293725,0.261883114097904,0.628240557581411,1.65480350116358
2021-07-09,14,1.97041420118343,0.323934099246651,1.33551503329557,2.60531336907129
2021-07-10,15,0.816,0.197909070029648,0.428105350528075,1.20389464947193
2021-07-11,4,0.219619326500732,0.0982167486456716,0.0271180364765927,0.412120616524871
2021-07-12,21,0.861047835990889,0.187896042162198,0.49277836051536,1.22931731146642
2021-07-13,50,1.5702479338843,0.254727851362354,1.07099051935481,2.06950534841378
2021-07-14,19,1.30687318489835,0.238601307722483,0.83922321509813,1.77452315469858
2021-07-15,19,1.27503663898388,0.236768359864243,0.810979180971344,1.73909409699641
2021-07-16,37,2.54138266796495,0.333699892662002,1.88734289670254,3.19542243922735
2021-07-17,17,1.02224325603407,0.208664530857062,0.613268290703286,1.43121822136486
2021-07-18,5,NA,NA,NA,NA
2021-07-19,21,1.24953095684803,0.20542162391251,0.846911972333778,1.65214994136228
2021-07-20,38,2.79095220722364,0.302721270031507,2.19762942060766,3.38427499383962
2021-07-21,30,1.81119648737651,0.24422168453663,1.33253078144101,2.28986219331201
2021-07-22,29,1.35270541082164,0.201649416808598,0.957479816373285,1.74793100527
2021-07-23,58,1.15487914055506,0.176117417841594,0.809695344535343,1.50006293657477
2021-07-24,24,0.529553356512437,0.112901154956969,0.308271158983801,0.750835554041072
2021-07-25,4,NA,NA,NA,NA
2021-07-26,37,1.2691466083151,0.166647113913871,0.942524266916368,1.59576894971383
2021-07-27,85,1.71809623430962,0.20108795425695,1.32397108624116,2.11222138237808
2021-07-28,55,1.21856866537718,0.174081237911025,0.877375708687418,1.55976162206693
2021-07-29,45,1.84692179700499,0.214700297846322,1.42611694575618,2.2677266482538
2021-07-30,43,1.16410670978173,0.168024330564483,0.834785073348891,1.49342834621457
2021-07-31,22,1.05049479827455,0.154887007988144,0.74692184094462,1.35406775560448
2021-08-01,2,0.335273573923166,0.0838183934807916,0.170992541458808,0.499554606387525
2021-08-02,58,1.10918918918919,0.146915697118782,0.821239714072781,1.3971386643056
2021-08-03,73,2.5147347740668,0.222273251453532,2.07908720649126,2.95038234164233
2021-08-04,49,2.07055214723926,0.202065199153454,1.67451163436958,2.46659266010895
2021-08-05,74,2.71818371172672,0.225732870670966,2.27575541508479,3.16061200836865
2021-08-06,48,1.71749298409729,0.170057145828361,1.38418710296003,2.05079886523455
2021-08-07,46,1.07462686567164,0.123268155512541,0.83302572042638,1.3162280109169
2021-08-08,16,0.12119579854565,0.0383254766247178,0.0460792446708719,0.196312352420429
2021-08-09,57,1.02789132002885,0.105459424264584,0.82119464663994,1.23458799341777
2021-08-10,128,1.74131135793622,0.136810341039318,1.47316801678652,2.00945469908593
2021-08-11,105,1.41206519095111,0.124325407716377,1.16839186946375,1.65573851243846
2021-08-12,145,1.20672842515846,0.115057040876784,0.98122076887221,1.43223608144471
2021-08-13,102,1.16156282998944,0.110750670345317,0.944495504848951,1.37863015512993
2021-08-14,76,0.832957110609481,0.0919847248794997,0.652670362717836,1.01324385850113
2021-08-15,10,0.213109460768486,0.045435089697999,0.124058321326061,0.302160600210911
2021-08-16,95,1.00241672796049,0.0973633196058453,0.811588128117772,1.19324532780321
2021-08-17,162,2.37354085603113,0.15195038279974,2.07572357830656,2.67135813375569
2021-08-18,129,1.53950033760972,0.124869966299169,1.29475970091262,1.78424097430682
2021-08-19,110,1.28738621586476,0.112052587383707,1.06776718021817,1.50700525151135
2021-08-20,110,1.10685483870968,0.100209928583352,0.910446987792976,1.30326268962638
2021-08-21,82,0.818105927093962,0.0826411783967211,0.656132193796439,0.980079660391485
2021-08-22,22,0.259343346140412,0.0451458817838301,0.170859043793802,0.347827648487022
2021-08-23,106,1.02667337695018,0.0880365157752184,0.854124976706356,1.199221777194
2021-08-24,244,2.21574597651153,0.131712426769331,1.95759436372727,2.47389758929579
2021-08-25,152,2.03505266981475,0.128966222795619,1.78228351791317,2.28782182171633
2021-08-26,132,1.84713375796178,0.121270272386368,1.60944839168914,2.08481912423443
2021-08-27,122,1.2871687136393,0.0967495250976492,1.09754312892656,1.47679429835205
2021-08-28,98,1.25788417431193,0.0900789567043581,1.08133266340644,1.43443568521741
2021-08-29,33,0.230311560360821,0.0364154551103773,0.158938579863847,0.301684540857796
2021-08-30,136,1.09550561797753,0.075959647657247,0.946627444290972,1.24438379166408
2021-08-31,283,2.7790100396918,0.120826523464861,2.54219440532349,3.01582567406012
2021-09-01,249,1.63008849557522,0.0930340644315145,1.44774507995407,1.81243191119637
2021-09-02,232,1.42714570858283,0.0843888948367653,1.26174651400764,1.59254490315803
2021-09-03,177,1.10112359550562,0.0703482060337012,0.96324364530256,1.23900354570868
2021-09-04,195,0.890808476177622,0.0600582952120043,0.773096380589219,1.00852057176602
2021-09-05,40,0.223691970679922,0.0291222140579735,0.166613479976228,0.280770461383617
2021-09-06,208,0.761519027950435,0.0524251318991882,0.658767657543264,0.864270398357606
2021-09-07,529,1.62380754873497,0.0778556128293355,1.47121335159517,1.77640174587476
2021-09-08,307,1.19218413061656,0.0687163509026437,1.05750255769836,1.32686570353475
2021-09-09,286,1.03667901346102,0.0649193580287478,0.909439409825211,1.16391861709682
2021-09-10,245,1.05652880621275,0.0655231350322259,0.928105821395433,1.18495179103007
2021-09-11,220,0.769402918270522,0.055672041289843,0.660287722396603,0.878518114144441
2021-09-12,59,0.280872090503229,0.0331010933068125,0.215995139772977,0.345749041233482
2021-09-13,211,0.75325006372674,0.0536668449437352,0.648064980473123,0.858435146980356
2021-09-14,435,1.72503643510136,0.0828043986680197,1.56274279595054,1.88733007425217
2021-09-15,301,1.23583352927345,0.0723216870048039,1.09408562744286,1.37758143110405
